ts_unix,elapsed_s,cpu_pct,mem_used_gb,mem_total_gb,gpu_util_pct,gpu_mem_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_power_w,gpu_temp_c,trainer_pid,trainer_rss_mb,trainer_cpu_pct,gen_alive,gen_rss_mb,gen_cpu_pct,train_tasks
1770847425,2109,36.23,42.97,503.37,92,16,8724,40960,192.10,36,,,,0,,,4478
1770847456,2140,37.61,43.40,503.37,91,13,8764,40960,195.98,36,,,,0,,,
1770847486,2170,42.66,42.69,503.37,97,21,8772,40960,178.48,35,,,,0,,,
1770847516,2200,42.02,42.54,503.37,97,21,8772,40960,227.83,34,,,,0,,,
1770847546,2230,42.20,42.73,503.37,97,13,8772,40960,181.09,34,,,,0,,,
1770847576,2260,42.19,43.35,503.37,98,8,8852,40960,240.71,33,,,,0,,,
1770847606,2290,42.18,43.96,503.37,80,20,8888,40960,204.79,34,,,,0,,,
1770847636,2320,44.29,43.58,503.37,100,4,8922,40960,185.77,34,,,,0,,,
1770847667,2351,41.72,43.62,503.37,97,4,8922,40960,173.81,34,,,,0,,,
1770847697,2381,41.03,43.16,503.37,100,3,8951,40960,174.40,34,,,,0,,,
1770847727,2411,36.48,43.24,503.37,98,20,8951,40960,182.29,35,,,,0,,,4478
1770847757,2441,37.09,43.89,503.37,93,21,8953,40960,196.85,36,,,,0,,,
1770847787,2471,45.19,44.35,503.37,96,21,8953,40960,184.89,37,,,,0,,,
1770847817,2501,47.32,44.31,503.37,98,6,8964,40960,148.52,36,,,,0,,,
1770847847,2531,42.93,43.92,503.37,97,4,8989,40960,148.97,37,,,,0,,,
1770847877,2561,36.15,43.98,503.37,97,15,9003,40960,132.34,37,,,,0,,,
1770847908,2592,36.48,44.08,503.37,99,3,9032,40960,181.42,36,,,,0,,,
1770847938,2622,42.87,43.40,503.37,96,20,9067,40960,184.30,36,,,,0,,,
1770847968,2652,41.80,43.56,503.37,99,19,9113,40960,170.60,35,,,,0,,,
1770847998,2682,42.52,44.28,503.37,97,9,9113,40960,182.29,35,,,,0,,,
1770848028,2712,41.44,44.49,503.37,98,14,9113,40960,178.15,34,,,,0,,,4478
1770848058,2742,37.89,44.69,503.37,67,1,9149,40960,190.17,31,,,,0,,,
1770848089,2773,43.00,45.05,503.37,99,3,9166,40960,176.74,34,,,,0,,,
1770848119,2803,41.81,44.86,503.37,98,14,9166,40960,248.59,34,,,,0,,,
1770848149,2833,42.04,44.82,503.37,98,5,9309,40960,158.92,34,,,,0,,,
1770848179,2863,36.86,44.61,503.37,99,10,9084,40960,168.26,34,,,,0,,,
1770848209,2893,35.14,45.78,503.37,20,1,9188,40960,108.16,30,,,,0,,,
1770848239,2923,46.46,46.25,503.37,99,3,9192,40960,228.16,35,,,,0,,,
1770848269,2953,46.97,46.21,503.37,96,5,9199,40960,179.35,36,,,,0,,,
1770848299,2983,42.09,44.99,503.37,96,16,9199,40960,183.75,36,,,,0,,,
1770848330,3014,37.69,45.99,503.37,98,6,9199,40960,146.63,36,,,,0,,,4478
1770848360,3044,35.34,46.55,503.37,16,0,9234,40960,75.73,31,,,,0,,,
1770848390,3074,43.55,46.47,503.37,97,16,9234,40960,181.42,37,,,,0,,,
